,ID,total,Equipment,Airport_Name,City,Country
1,100,18,CRJ,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada
2,106,4,PAG,Port Menier Airport,Port Menier,Canada
3,108,2,DH1,Prince Rupert Airport,Prince Pupert,Canada
4,108,2,DH3,Prince Rupert Airport,Prince Pupert,Canada
5,109,4,J31,Fort Chipewyan Airport,Fort Chipewyan,Canada
6,111,8,DH1,Quebec Jean Lesage International Airport,Quebec,Canada
7,112,4,J31,Red Deer Regional Airport,Red Deer Industrial,Canada
8,113,2,DH4,Windsor Airport,Windsor,Canada
9,113,2,319,Windsor Airport,Windsor,Canada
10,113,2,73W,Windsor Airport,Windsor,Canada
11,115,6,SWM,Kenora Airport,Kenora,Canada
12,116,2,BEH,Lethbridge County Airport,Lethbridge,Canada
13,117,6,73W,Greater Moncton International Airport,Moncton,Canada
14,119,6,BEH,Comox Airport,Comox,Canada
15,120,14,CRJ,Regina International Airport,Regina,Canada
16,121,11,SWM,Thunder Bay Airport,Thunder Bay,Canada
17,122,4,DH4,Grande Prairie Airport,Grande Prairie,Canada
18,125,4,BEH,Gander International Airport,Gander,Canada
19,126,2,CRJ,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada
20,126,2,DH1,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada
21,127,8,BEH,Quesnel Airport,Quesnel,Canada
22,128,2,DHT,Resolute Bay Airport,Resolute,Canada
23,128,2,AT4,Resolute Bay Airport,Resolute,Canada
24,132,23,AT4,Rankin Inlet Airport,Rankin Inlet,Canada
25,133,7,SWM,Sudbury Airport,Sudbury,Canada
26,135,2,DH4,Saint John Airport,St. John,Canada
27,135,2,DH1,Saint John Airport,St. John,Canada
28,135,2,BEH,Saint John Airport,St. John,Canada
29,136,8,J31,Fort Smith Airport,Fort Smith,Canada
30,139,4,DHT,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada
31,140,4,AT4,Cape Dorset Airport,Cape Dorset,Canada
32,141,6,AT4,Thompson Airport,Thompson,Canada
33,143,5,SWM,Timmins/Victor M. Power,Timmins,Canada
34,144,28,DH4,Billy Bishop Toronto City Centre Airport,Toronto,Canada
35,145,2,DHT,Tuktoyaktuk Airport,Tuktoyaktuk,Canada
36,146,32,333,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada
37,147,8,AT4,Repulse Bay Airport,Repulse Bay,Canada
38,148,4,AT4,Hall Beach Airport,Hall Beach,Canada
39,149,4,DH1,Rouyn Noranda Airport,Rouyn,Canada
40,149,4,DH8,Rouyn Noranda Airport,Rouyn,Canada
41,152,2,DH8,Qikiqtarjuaq Airport,Broughton Island,Canada
42,152,2,AT4,Qikiqtarjuaq Airport,Broughton Island,Canada
43,153,4,J32,Val-d'Or Airport,Val D'or,Canada
44,153,4,DH8,Val-d'Or Airport,Val D'or,Canada
45,153,4,DH1,Val-d'Or Airport,Val D'or,Canada
46,154,5,BET,Kuujjuaq Airport,Quujjuaq,Canada
47,155,4,73M 733,Norman Wells Airport,Norman Wells,Canada
48,155,4,DHT,Norman Wells Airport,Norman Wells,Canada
49,155,4,73M,Norman Wells Airport,Norman Wells,Canada
50,156,26,DH3,Vancouver International Airport,Vancouver,Canada
51,160,12,73W,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada
52,161,10,DH1,Wabush Airport,Wabush,Canada
53,162,8,BEH,Williams Lake Airport,Williams Lake,Canada
54,164,4,BE1,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada
55,166,6,ERJ,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada
56,166,6,DH4,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada
57,167,2,BEH,Medicine Hat Airport,Medicine Hat,Canada
58,168,6,DH4,Fort St John Airport,Fort Saint John,Canada
59,169,23,BEH,Sioux Lookout Airport,Sioux Lookout,Canada
60,170,4,DH8,Pangnirtung Airport,Pangnirtung,Canada
61,170,4,AT4,Pangnirtung Airport,Pangnirtung,Canada
62,172,10,BEH,Prince George Airport,Prince George,Canada
63,173,4,DH1,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada
64,173,4,DH3,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada
65,174,4,CRJ,London Airport,London,Canada
66,174,4,73W,London Airport,London,Canada
67,175,2,73W 736,Abbotsford Airport,Abbotsford,Canada
68,175,2,73W,Abbotsford Airport,Abbotsford,Canada
69,176,8,737,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada
70,177,2,DH1,North Bay Airport,North Bay,Canada
71,177,2,SWM,North Bay Airport,North Bay,Canada
72,178,31,73W,Calgary International Airport,Calgary,Canada
73,179,4,DH1,Smithers Airport,Smithers,Canada
